"id","school_id","naplan_id","year","location","postcode","school_level","subject_tested","year_tested","naplan_score","num_students","state"
531,142,40043,2012,"SMITHTON","7330","Combined","Grammar and Punctuation","Year3",447,37,"TAS"
532,142,40043,2012,"SMITHTON","7330","Combined","Numeracy","Year3",405,37,"TAS"
533,142,40043,2012,"SMITHTON","7330","Combined","Persuasive Writing","Year3",433,37,"TAS"
534,142,40043,2012,"SMITHTON","7330","Combined","Reading","Year3",427,37,"TAS"
535,142,40043,2012,"SMITHTON","7330","Combined","Spelling","Year3",441,37,"TAS"
536,142,40043,2012,"SMITHTON","7330","Combined","Grammar and Punctuation","Year5",491,31,"TAS"
537,142,40043,2012,"SMITHTON","7330","Combined","Numeracy","Year5",499,31,"TAS"
538,142,40043,2012,"SMITHTON","7330","Combined","Persuasive Writing","Year5",482,31,"TAS"
539,142,40043,2012,"SMITHTON","7330","Combined","Reading","Year5",483,31,"TAS"
540,142,40043,2012,"SMITHTON","7330","Combined","Spelling","Year5",520,31,"TAS"
541,142,40043,2012,"SMITHTON","7330","Combined","Grammar and Punctuation","Year7",525,36,"TAS"
542,142,40043,2012,"SMITHTON","7330","Combined","Numeracy","Year7",498,35,"TAS"
543,142,40043,2012,"SMITHTON","7330","Combined","Persuasive Writing","Year7",510,36,"TAS"
544,142,40043,2012,"SMITHTON","7330","Combined","Reading","Year7",516,36,"TAS"
545,142,40043,2012,"SMITHTON","7330","Combined","Spelling","Year7",539,36,"TAS"
546,142,40043,2012,"SMITHTON","7330","Combined","Grammar and Punctuation","Year9",569,27,"TAS"
547,142,40043,2012,"SMITHTON","7330","Combined","Numeracy","Year9",567,27,"TAS"
548,142,40043,2012,"SMITHTON","7330","Combined","Persuasive Writing","Year9",567,27,"TAS"
549,142,40043,2012,"SMITHTON","7330","Combined","Reading","Year9",566,26,"TAS"
550,142,40043,2012,"SMITHTON","7330","Combined","Spelling","Year9",571,27,"TAS"
581,425,40046,2012,"WHITEMARK","7255","Combined","Numeracy","Year3",384,6,"TAS"
582,425,40046,2012,"WHITEMARK","7255","Combined","Persuasive Writing","Year3",418,6,"TAS"
583,425,40046,2012,"WHITEMARK","7255","Combined","Reading","Year3",370,7,"TAS"
584,425,40046,2012,"WHITEMARK","7255","Combined","Grammar and Punctuation","Year5",489,5,"TAS"
585,425,40046,2012,"WHITEMARK","7255","Combined","Numeracy","Year5",512,5,"TAS"
586,425,40046,2012,"WHITEMARK","7255","Combined","Persuasive Writing","Year5",492,5,"TAS"
587,425,40046,2012,"WHITEMARK","7255","Combined","Reading","Year5",543,5,"TAS"
588,425,40046,2012,"WHITEMARK","7255","Combined","Spelling","Year5",502,5,"TAS"
609,186,40048,2012,"RAVENSWOOD","7250","Primary","Grammar and Punctuation","Year3",369,34,"TAS"
610,186,40048,2012,"RAVENSWOOD","7250","Primary","Numeracy","Year3",348,33,"TAS"
611,186,40048,2012,"RAVENSWOOD","7250","Primary","Persuasive Writing","Year3",373,34,"TAS"
612,186,40048,2012,"RAVENSWOOD","7250","Primary","Reading","Year3",371,33,"TAS"
613,186,40048,2012,"RAVENSWOOD","7250","Primary","Spelling","Year3",365,34,"TAS"
